Kecamatan,,,,,,
,Jumlah Hotel Menurut Kecamatan,,,,,
,Hotel,,Kamar,,Tempat Tidur,
,2022,2021,2022,2021,2022,2021
Silaut,2,2,7,7,7,7
Lunang,5,5,72,63,105,82
Basa Ampek Balai Tapan,6,6,80,72,80,72
Ranah Ampek Hulu Tapan,-,-,-,-,-,-
Pancung Soal,2,2,26,21,21,21
Airpura,-,-,-,-,-,-
Linggo Sari Baganti,1,1,10,10,15,10
Ranah Pesisir,4,4,60,60,60,60
Lengayang,1,1,17,13,32,26
Sutera,-,-,-,-,-,-
Batang Kapas,-,-,-,-,-,-
IV Jurai,11,11,187,181,374,362
Bayang,1,1,46,16,75,32
IV Nagari Bayang Utara,-,-,-,-,-,-
Koto XI Tarusan,-,-,-,-,-,-
KABUPATEN PESISIR SELATAN,38,33,453,427,682,640
