Kecamatan,,,,,,,,,
,Jumlah Ruang Kelas Sekolah Dasar Menurut Kondisi,,,,,,,,
,Baik,,,Rusak Ringan,,,Rusak Berat,,
,2018,2019,2020,2018,2019,2020,2018,2019,2020
Silaut,1,1,47,57,63,53,26,19,-
Lunang,11,8,29,80,80,95,19,23,-
Basa Ampek Balai Tapan,5,9,27,66,60,65,11,14,-
Ranah Ampek Hulu Tapan,4,4,14,75,80,81,10,5,-
Pancung Soal,28,29,105,90,91,30,9,9,-
Airpura,10,5,67,71,76,32,7,7,-
Linggo Sari Baganti,72,73,117,173,174,163,15,14,-
Ranah Pesisir,29,29,102,134,130,87,26,30,6
Lengayang,80,77,139,215,211,208,33,40,-
Sutera,43,53,146,220,212,171,24,23,-
Batang Kapas,36,37,46,147,148,166,22,19,-
IV Jurai,68,67,140,160,166,135,37,31,-
Bayang,46,47,79,176,176,157,20,18,10
IV Nagari Bayang Utara,6,6,27,50,50,29,-,-,-
Koto XI Tarusan,33,23,44,218,218,251,35,45,4
KABUPATEN PESISIR SELATAN,472,468,1129,1932,1935,1723,294,297,20
