Kecamatan,,,,,,
,Jumlah Ruang Kelas Sekolah Dasar Menurut Kondisi,,,,,
,Baik,,Rusak Ringan,,Rusak Berat,
,2021,2022,2021,2022,2021,2022
Silaut,38,96,63,26,-,-
Lunang,42,130,66,7,-,-
Basa Ampek Balai Tapan,45,118,170,17,-,-
Ranah Ampek Hulu Tapan,72,96,173,3,-,-
Pancung Soal,26,142,31,1,-,-
Airpura,127,104,164,11,-,-
Linggo Sari Baganti,37,276,262,24,-,-
Ranah Pesisir,78,197,279,1,-,-
Lengayang,82,353,200,19,-,-
Sutera,18,335,111,5,-,-
Batang Kapas,56,222,86,3,-,-
IV Jurai,10,293,85,3,-,-
Bayang,52,244,144,7,-,-
IV Nagari Bayang Utara,31,57,72,-,-,-
Koto XI Tarusan,87,303,246,1,-,-
KABUPATEN PESISIR SELATAN,801,2966,2152,128,1,-
