Kecamatan,,,,,,,,,
,Jumlah Ruang Kelas Sekolah Menengah Atas Menurut Kondisi,,,,,,,,
,Baik,,,Rusak Ringan,,,Rusak Berat,,
,2018,2019,2020,2018,2019,2020,2018,2019,2020
Silaut,13,12,12,-,-,-,-,-,3
Lunang,-,-,5,19,19,8,1,1,5
Basa Ampek Balai Tapan,26,27,28,1,1,3,1,3,2
Pancung Soal,9,9,19,11,11,5,4,4,1
Airpura,21,21,10,1,1,5,-,-,4
Linggo Sari Baganti,2,2,33,28,31,-,-,-,-
Ranah Pesisir,5,5,39,22,36,-,18,4,2
Lengayang,8,8,19,44,38,33,11,17,12
Sutera,2,3,41,44,43,1,-,-,-
Batang Kapas,8,9,39,36,36,3,3,3,-
IV Jurai,42,32,50,30,32,21,2,11,4
Bayang,20,20,31,28,26,15,1,4,-
IV Nagari Bayang Utara,-,-,12,12,12,-,-,-,-
Koto XI Tarusan,3,3,36,52,52,12,-,-,6
KABUPATEN PESISIR SELATAN,159,151,374,328,338,106,41,47,39
