Kecamatan,,,,,,
,Jumlah Ruang Kelas Sekolah Menengah Atas Menurut Kondisi,,,,,
,Baik,,Rusak Ringan,,Rusak Berat,
,2021,2022,2021,2022,2021,2022
Silaut,13,12,2,-,-,-
Lunang,13,7,-,9,3,1
Basa Ampek Balai Tapan,16,13,11,14,6,4
Pancung Soal,14,13,12,13,-,-
Airpura,16,19,1,-,4,-
Linggo Sari Baganti,28,21,5,5,-,7
Ranah Pesisir,21,21,10,7,15,17
Lengayang,29,53,16,7,15,-
Sutera,7,30,28,12,10,1
Batang Kapas,28,-,15,40,3,8
IV Jurai,50,30,17,32,8,12
Bayang,28,27,23,18,-,5
IV Nagari Bayang Utara,10,11,1,1,1,-
Koto XI Tarusan,44,24,4,28,5,-
KABUPATEN PESISIR SELATAN,317,281,145,186,70,55
