Kecamatan,,,,,,,,,
,Jumlah Ruang Kelas Sekolah Menengah Pertama Menurut Kondisi,,,,,,,,
,Baik,,,Rusak Ringan,,,Rusak Berat,,
,2015,2016,2017,2015,2016,2017,2015,2016,2017
Silaut,2,1,-,11,12,28,3,4,1
Lunang,-,11,-,29,22,32,6,-,-
Basa Ampek Balai Tapan,-,-,-,15,21,23,8,2,-
Ranah Ampek Hulu Tapan,20,5,7,2,21,17,4,-,3
Pancung Soal,3,17,5,10,15,27,24,6,6
Airpura,6,6,-,22,24,17,5,3,16
Linggo Sari Baganti,3,16,4,58,47,73,11,11,5
Ranah Pesisir,14,8,10,41,41,40,2,6,5
Lengayang,2,18,2,36,36,80,38,22,3
Sutera,23,28,48,63,61,42,-,5,7
Batang Kapas,25,26,44,34,34,19,1,-,-
IV Jurai,28,34,38,39,38,36,14,9,19
Bayang,-,20,24,41,36,33,17,2,1
IV Nagari Bayang Utara,7,6,9,6,6,3,-,-,-
Koto XI Tarusan,5,9,29,92,89,69,4,8,4
KABUPATEN PESISIR SELATAN,138,205,220,499,503,539,137,78,70
