Kecamatan,,,,,,
,Jumlah Ruang Kelas Sekolah Menengah Pertama Menurut Kondisi,,,,,
,Baik,,Rusak Ringan,,Rusak Berat,
,2021,2022,2021,2022,2021,2022
Silaut,-,29,32,1,-,-
Lunang,-,31,25,3,-,-
Basa Ampek Balai Tapan,39,25,24,-,-,-
Ranah Ampek Hulu Tapan,45,38,12,2,-,2
Pancung Soal,1,43,16,-,-,-
Airpura,62,29,39,3,-,-
Linggo Sari Baganti,36,85,67,6,-,-
Ranah Pesisir,34,54,38,3,-,-
Lengayang,7,73,72,2,6,-
Sutera,1,99,33,7,-,-
Batang Kapas,33,63,9,-,-,-
IV Jurai,13,93,16,8,2,-
Bayang,10,55,46,-,-,-
IV Nagari Bayang Utara,10,10,20,7,-,-
Koto XI Tarusan,42,103,61,1,-,-
KABUPATEN PESISIR SELATAN,333,830,510,43,8,2
